From Date,To Date,PM2.5,PM10,NO,NO2,Nox,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,WD,SR,BP,AT,Xylene,TOT-RF
2018-11-11,2018-11-12 00:00:00,251.16,439.83,1.75,83.25,45.69,39.29,23.07,1.57,39.13,6.7,17.96,76.73,240.05,29.55,992.08,19.86,0.31,0.0
2018-11-12,2018-11-13 00:00:00,235.81,340.7,4.97,80.06,46.58,35.29,13.32,1.54,44.63,6.57,13.94,77.34,244.45,107.99,990.39,19.82,0.31,0.0
2018-11-13,2018-11-14 00:00:00,285.09,428.91,16.67,111.32,72.8,41.51,21.87,1.34,31.22,8.68,43.54,78.66,219.97,77.29,988.21,20.48,0.91,0.0
2018-11-14,2018-11-15 00:00:00,144.36,205.45,6.34,96.49,56.09,35.79,12.56,1.0,41.93,5.64,28.66,77.86,214.38,105.27,989.02,21.22,0.54,1.0
2018-11-15,2018-11-16 00:00:00,109.24,154.94,6.91,77.06,46.79,30.92,12.69,0.65,28.81,4.17,33.59,79.27,185.82,112.2,992.52,19.82,0.57,0.0
2018-11-16,2018-11-17 00:00:00,140.85,203.48,1.99,60.08,33.6,28.21,12.0,0.71,47.2,2.64,28.62,59.69,105.49,147.41,991.5,19.65,0.12,0.0
2018-11-17,2018-11-18 00:00:00,170.65,278.21,10.83,81.3,52.2,29.97,13.99,1.0,33.75,3.96,30.01,65.72,92.03,137.42,989.98,18.37,0.4,0.0
2018-11-18,2018-11-19 00:00:00,218.71,348.95,21.89,99.28,70.63,35.64,20.12,1.3,47.46,5.49,28.99,69.12,210.05,116.26,991.03,19.19,0.67,0.0
2018-11-19,2018-11-20 00:00:00,478.34,352.7,2.12,78.23,43.45,37.06,21.37,1.03,51.78,4.42,14.58,68.45,276.02,77.0,993.32,20.02,0.14,0.0
2018-11-20,2018-11-21 00:00:00,,346.25,5.95,91.46,53.34,38.49,19.82,1.25,39.32,4.86,38.0,74.28,133.92,112.34,993.61,19.69,0.25,0.0
2018-11-21,2018-11-22 00:00:00,,342.09,9.97,88.46,55.11,32.93,17.28,0.85,34.95,4.06,48.31,63.12,88.77,130.14,993.83,19.34,0.28,0.0
2018-11-22,2018-11-23 00:00:00,,319.93,37.41,92.42,81.06,29.44,26.51,0.99,38.2,4.69,51.73,60.75,98.55,114.21,994.62,18.67,0.63,0.0
2018-11-23,2018-11-24 00:00:00,,317.78,31.45,71.27,63.51,30.21,19.53,0.82,39.93,3.88,75.05,55.02,101.36,129.14,996.01,19.58,0.51,0.0
2018-11-24,2018-11-25 00:00:00,94.93,204.76,2.92,58.91,33.7,25.47,18.44,0.6,38.72,2.34,28.38,51.98,99.51,133.25,994.32,19.31,0.09,0.0
2018-11-25,2018-11-26 00:00:00,151.81,295.0,30.04,71.11,62.31,28.29,21.03,1.13,35.51,3.97,28.38,63.09,139.62,126.46,994.14,17.8,0.38,0.0
2018-11-26,2018-11-27 00:00:00,185.35,361.27,65.24,79.93,95.64,31.56,31.74,1.44,33.68,5.45,40.87,70.73,118.69,119.03,993.27,17.5,0.69,0.0
2018-11-27,2018-11-28 00:00:00,254.67,440.14,52.58,90.61,90.88,36.21,20.24,2.09,29.8,10.09,93.62,74.45,189.23,89.99,994.97,18.22,2.43,0.0
2018-11-28,2018-11-29 00:00:00,232.88,380.7,18.97,94.3,65.66,40.2,17.91,1.57,16.36,9.62,62.91,80.4,255.72,80.12,995.93,18.35,2.21,0.0
2018-11-29,2018-11-30 00:00:00,235.42,389.34,44.4,93.73,86.03,38.41,17.95,1.59,25.27,7.54,123.69,75.43,116.21,98.03,996.11,18.28,4.76,0.0
2018-11-30,2018-12-01 00:00:00,203.06,366.58,26.42,89.08,69.14,32.78,22.32,1.26,21.67,5.65,127.61,69.64,92.51,108.52,995.55,17.72,2.19,0.0
2018-12-01,2018-12-02 00:00:00,154.42,300.1,57.53,90.13,94.83,28.13,25.21,1.34,18.61,4.98,53.75,65.37,128.95,115.44,992.83,17.01,2.57,0.0
2018-12-02,2018-12-03 00:00:00,179.21,339.88,85.1,85.22,114.61,26.3,24.08,1.63,25.9,6.74,85.44,67.83,174.07,103.97,992.14,16.26,4.79,0.0
2018-12-03,2018-12-04 00:00:00,206.23,408.35,95.4,96.28,128.95,30.64,26.43,1.86,22.42,6.53,65.26,70.69,165.03,106.95,993.1,16.02,4.2,0.0
2018-12-04,2018-12-05 00:00:00,246.72,473.84,155.11,115.59,191.26,33.28,24.67,2.49,17.92,7.85,167.95,74.61,144.23,95.43,994.8,15.7,6.85,0.0
2018-12-05,2018-12-06 00:00:00,209.39,381.44,96.67,102.92,134.24,32.51,22.87,2.03,25.05,5.93,60.26,74.92,95.47,98.55,992.39,15.53,3.76,0.0
2018-12-06,2018-12-07 00:00:00,224.31,381.1,118.81,95.2,148.53,30.57,20.09,2.15,23.77,9.42,90.43,76.3,118.92,93.35,991.8,15.13,6.38,0.0
2018-12-07,2018-12-08 00:00:00,190.33,350.32,48.18,89.14,86.09,31.24,18.84,1.37,20.05,8.4,63.7,75.32,100.38,104.54,992.54,14.94,3.9,0.0
2018-12-08,2018-12-09 00:00:00,221.78,351.82,30.91,81.55,68.47,32.89,24.28,1.26,27.72,8.4,63.7,78.39,150.89,98.47,993.5,14.43,3.9,0.0
2018-12-09,2018-12-10 00:00:00,216.57,337.6,61.18,80.36,92.59,29.82,34.26,1.5,27.94,8.4,63.7,78.65,218.56,95.91,992.41,14.05,3.9,0.0
2018-12-10,2018-12-11 00:00:00,259.56,381.24,7.24,89.08,53.18,33.81,21.55,1.58,27.03,8.4,63.7,80.94,262.8,79.23,991.96,14.23,3.9,0.0
